relation	sentence
Entity-Destination(e1,e2)	<e1>قطعات موزه </e1>به <e2>انبار ائتلافی </e2>در موزه‌های معروف واشنگتون منتقل شده است
Other	به تازگی این <e1>مرد </e1>وارد <e2>لیست </e2>پرچم قرمز اینترپل شد .
Member-Collection(e2,e1)	پس از آن متوجه <e1>کمین </e1><e2>ببر </e2>هایی شدم که ما را در ساحل بلند دنبال می کردند .
Cause-Effect(e2,e1)	<e1>جریان‌های </e1>عمیق تر توسط <e2>گرما </e2>بوسیله خورشید ایجاد می شوند .
Other	تقویم خورشیدی یک تقویم است که <e1>تاریخ </e1>آن نشان‌دهنده <e2>موقعیت </e2>زمین هنگام چرخش آن در اطراف خورشید است .
Component-Whole(e1,e2)	او زهر درون سر مار را بیرون کشید و سپس <e1>دکمه </e1><e2>نوار‌ضبط </e2>را فشار داد .
Product-Producer(e2,e1)	اینجا تصویر یک <e1>هنرمند </e1>در حال گرفتن <e2>عکس </e2>از یک دختر جوان در مقابل غرفه فروش سبزیجات در خیابان مالبری در شهر نیویورک وجود دارد .
Product-Producer(e2,e1)	<e1>ستاره </e1>کودک فیلم ، مایکل استیفنس ، یک <e2>مستند </e2>در مورد فیلم با عنوان « بهترین فیلم بد» را با نقادی موفق در سال 2009 منتشر کرد .
Member-Collection(e2,e1)	داستان مبارزه حماسی بین امپراتوری اسلامی عثمانی‌ها و امپراتوری مسیحیان اروپای شرقی از منظر یک انجمن برادری مخفی ، اکسکیوبیتورها ، یک انجمن <e1>برادری </e1>از <e2>مشاوران </e2>پادشاهان ، سلاطین ، رئیس کلیساها ، شوالیه‌ها ، محققین ، سرمایه داران و ماجراجویان بازرگان که موقعیت‌های نفوذی در هر دو طرف درگیری دارند, گفته شده .
Cause-Effect(e2,e1)	واکنش ویتنام نسبت به <e1>تلفات </e1>ناشی از <e2>زلزله </e2>در سیچوان ( چین ) .
Product-Producer(e2,e1)	در ماه سپتامبر یک مدیر <e1>اجرایی </e1>با گوفی بُی کار کرد تا این <e2>فیلم </e2>را برای حمایت از تبلیغ فعلی ایجاد کند .
Member-Collection(e2,e1)	کلیسای باغی یک <e1>باغ </e1>میوه با ترکیبی از درختان <e2>سیب </e2>، گلابی و آلو‌های استاندارد است و میسون و وینسلو از باغات <e2>سیب‌های </e2>مخصوص آبگیری است .
Cause-Effect(e1,e2)	<e1>فرستنده </e1><e2>سیگنال </e2>رادیویی را به گیرنده رادیویی زنگ در داخل ساختمان می فرستد .
Product-Producer(e1,e2)	علاوه بر شهرت او به عنوان یک <e1>فیلم </e1><e2>ساز </e2>، لموسکولیو به عنوان یک هنرمند شناخته شده است .
Entity-Destination(e1,e2)	گذر زمان بطری ، که بی هوازی است ( بدون اکسیژن ) یکی از دلایلی است که مردم <e1>شراب </e1>را در یک <e2>انبار </e2>قرار داده و اجازه می دهد تا زمان بگذرد .
Other	دو بازمانده سقوط هواپیما با <e1>جراح </e1>بیمارستان هات که <e2>تیمش </e2>هشت سال پیش به بازسازی چهره‌های خرد شده آن‌ها کمک کرده بود ، دیدار کردند .
Entity-Destination(e1,e2)	<e1>مواد </e1>هسته‌ای تریپانوزوم بروسه‌ای به <e2>میتوکندری </e2>وارد می شوند .
Cause-Effect(e1,e2)	<e1>خمش </e1>باعث ایجاد <e2>شکست </e2>در قسمت کششی نمونه آزمایشی شد ، اما نوار الیاف UHMP قطعات شکسته را در کنار هم قرار داد .
Other	<e1>متامفتامین </e1>متحرک درون یک خودروی <e2>ون </e2>بود که در داخل یک واحد ذخیره سازی در کیرنز غربی 4095 , پارک شده بود .
Component-Whole(e2,e1)	بسیاری از <e1>منابع </e1>تغذیه DC ساده ، ولتاژ را با استفاده از یک <e2>رگلاتور </e2>موازی مانند دیود زنر تنظیم می کنند .
Instrument-Agency(e1,e2)	<e2>جراح </e2>برای راحت شدن عمل جراحی از <e1>موسیقی </e1>استفاده می کند .
Member-Collection(e2,e1)	توماس لین می <e1>نویسد </e1>یک روپک واقعی از <e2>معماران </e2>در حال شکل دادن یک استایل به سبک در شهر گناه است - و همه آنها مستقیما بازی نمی کنند .
Other	<e2>تولید </e2><e1>کانولای </e1>موثر نیاز به دستکاری در <e2>محصول </e2>دارد .
Content-Container(e1,e2)	در استان غربی ، <e1>نشاسته </e1>در <e2>بسته‌های </e2>برگ نخل بافته شده انباشته شده است .
Message-Topic(e2,e1)	<e1>راه‌حل‌های </e1>این تمرین‌ها در <e2>ضمیمه </e2>ارائه شده است .
Entity-Origin(e1,e2)	<e1>درد </e1>از <e2>لمبر </e2>سمت راست به مفصل زانو منتشر می‌شد .
Other	<e1>ماده </e1>چرب سفید بدست آمده از سر وال اسپرم در <e2>داروها </e2>و شمعها استفاده شد .
Other	خود سازمانی در تکامل به عنوان <e1>خودسامانی </e1>آبشار ها و <e2>شبکه </e2>های ژنی مشهود است .
Member-Collection(e2,e1)	در یک جا دریا وسعت دیدی داشت به اندازه پانزده پا از آنجایی که به سمت بالا رفته بود ، و <e1>توده‌ی </e1>بزرگی از <e2>استخوان‌های </e2>انسانی از خاک در آورده شد.
Cause-Effect(e2,e1)	<e1>خشک کن </e1><e2>هوایی </e2>را بیرون می دهد که به دمای بدن شما نزدیک است .
Other	از رادیو ترانزیستور ، به زیر <e1>بالش </e1><e2>تخت </e2>خود گوش می دهید تا صدای خواننده را در شبکه پخش کنید ، فیشر آن را پوشش میدهد و بسیار خوب است .
Content-Container(e1,e2)	این <e1>بازی‌ها </e1>در <e2>جعبه‌ای </e2>بود که برچسب قیمت 3 دلاری روی آن قرار داشت ، بنابراین من فکر کردم که هر بازی 3 دلار است .
Other	<e1>آزمایشات </e1>گزارش شده در این مقاله دو <e2>خصوصیت </e2>خاصی از اثر احتمالی موقعیت را مورد بررسی قرار دادند .
Other	آنها <e1>شراب </e1>را در <e2>دمای </e2>سرد نگه داشتند .
Entity-Destination(e1,e2)	<e1>قطعات </e1>در حال سقوط در <e2>مکان </e2>هستند .
Message-Topic(e1,e2)	ما <e1>دستورالعمل‌های </e1>مفصل را برای تنظیم هر <e2>مرحله‌ای </e2>که باید دنبال کنید تا مجموعه نمونه DNA خود را ایجاد کنید ، فراهم کردیم .
Member-Collection(e2,e1)	همراه با ارتش سرخ ، <e1>آشوبی </e1>از <e2>بوروکرات </e2>های قرمز به پا می شود ، که به واسطه چاقوهایی که از کمربندهایشان آویزان بود شناخته می شدند ، از این چاقوها برای تصحیح اشتباهات نوشته شده بر روی نی های بامبو استفاده می شده است .
Cause-Effect(e2,e1)	ظاهرا ، فراتر از <e1>آسیب </e1>ناشی از دود و <e2>آب </e2>، ساختار خود فروشگاه بیش از حد آسیب ندیده است .
Cause-Effect(e1,e2)	<e1>جنگ </e1>منجر به <e2>پیروزی‌های </e2>با شکوه دیگر نیز شد .
Other	هنگامی که بازرگان برای آمدن به خانه آماده شد، برای اولین دخترش یک <e2>گردنبند </e2><e1>الماس </e1>خریداری کرده بود .
Component-Whole(e1,e2)	بنابراین ، کاملا امکان پذیر است که در <e1>دهان </e1>یک <e2>فرد </e2>عدم خشونت و خشونتی عظیم به عقب و جلو حرکت کند .
Cause-Effect(e2,e1)	<e1>جنگ </e1>ناشی از <e2>تمایلات </e2>کشورگشایی هیتلر ، موسولینی و امپراطور‌های ژاپنی بود .
Entity-Destination(e1,e2)	سپس <e1>مایع آمنی </e1>بی رنگ یا نزدیک به بی رنگ <e2>شیشه </e2>اونس قرار داده شد .
Other	آنها حداکثر تعداد بخش‌های نشتی را ارزیابی کرده و ناحیه سوخت را برای <e1>محموله </e1>پشنهادی در یک <e2>مخزن </e2>با یک تست میزان نشتی ، مشخص کردند .
Content-Container(e1,e2)	آنها به من توصیه کردند که <e1>پرونده‌های </e1>سال 1993 آنها در یک <e2>جعبه </e2>فایل در یک انبار قرار دارد .
Product-Producer(e2,e1)	<e1>نوازنده فلوت </e1>چندین ضبط تولید کرد ، از جمله یک <e2>آلبوم </e2>به نام پادشاه های‌لند پایپرز .
Product-Producer(e2,e1)	<e1>مردان </e1>و زنان جی بند پنبه ، بادام زمینی ، بامیه ، ذرت ، نخود و <e2>سیب زمینی </e2>رشد می دهند .
Instrument-Agency(e2,e1)	این یک فرصت استراحت و دور شدن از زندگی شلوغ شهری است برای <e1>کسی </e1>که با <e2>لذت </e2>و آرامش <e1>در حال غذا خوردن </e1>است در حالی که مشغول تماشای مسافران هر روزه است .
Cause-Effect(e2,e1)	شما تقریبا سی و سه مشت و لگد محکم را در این کلیپ از بچه کوچک که پس از <e2>دعوای </e2>وحشتناک <e1>فریاد </e1>می زد شمردید .
Component-Whole(e1,e2)	<e1>درب </e1><e2>تابوت </e2>شبه انسان خوستفنات متعلق به قرن چهارم قبل از میلاد می باشد .
Content-Container(e1,e2)	محلول منجمد شد و <e1>باتری </e1>هایی که در <e2>محفظه‌ها </e2>قرار داشتند سرد شدند .
Content-Container(e1,e2)	در صورت انفجار , <e1>بطری شیشه‌ای </e1>در یک <e2>سبد مشبک سیمی </e2>قرار داشت .
Other	<e1>بخش </e1>تصویرگری به <e2>​​فرمت </e2>وب جدید آورده شده است .
Component-Whole(e1,e2)	این <e1>عکس </e1>یک دستگاه آموزش خودرو در <e2>نامه‌ای </e2>به اِدوین لینک محصور شده است .
Entity-Destination(e1,e2)	<e1>زندانی </e1>آزاد شد و به <e2>خانواده </e2>جدیدش پیوست .
Entity-Destination(e1,e2)	این <e1>پول </e1>در زمینه <e2>آموزش </e2>و سلامت سرمایه گذاری شد .
Product-Producer(e1,e2)	منطقه پیدمونت ایتالیا کشور شراب است و به خاطر شایستگی هایش در تولید <e1>شراب </e1>توسط <e2>می فروشان </e2>مورد توجه است .
Component-Whole(e1,e2)	این <e1>داستان </e1>به <e2>ویرایش </e2>آنلاین روزنامه آدوارول مرتبط بود .
Entity-Origin(e2,e1)	<e2>آرد </e2><e1>گندم </e1>حاوی تنها یک گلوتلین بود که در 3 درصد اشباع با سولفات آمونیوم جدا شد .
Member-Collection(e1,e2)	هر <e1>شهردار </e1>انتاریو عضو <e2>شرکت </e2>است .
Cause-Effect(e1,e2)	این <e1>قانون </e1>، <e2>توزیع مجدد </e2>حاکمیت اراضی را درون قلمروی امپراطوری برقرار کرد .
Cause-Effect(e2,e1)	<e1>تهاجم </e1>بربرهای قرن پنجم با <e2>تخریب </e2>پادشاهی‌های گوتیک توسط هونز در 372-375 آغاز شد .
Entity-Destination(e1,e2)	روز بعد ، <e1>مبدل </e1>حرارتی در <e2>مخزن </e2>سوخت نصب شد .
Message-Topic(e2,e1)	<e1>حرفه </e1>او اخیرا در <e2>بیوگرافی </e2>جان بری از گالینوس خلاصه شده است .
Cause-Effect(e2,e1)	انتشار <e1>امواج </e1>الکترومغناطیسی از <e2>تلفن‌های همراه </e2>همچنان یک نگرانی رو به رشد است .
Entity-Origin(e1,e2)	منشا <e1>شوانوما ، </e1><e2>سلولهای </e2>شوانن هستند که به طور طبیعی در تنتوریوم وجود دارند .
Member-Collection(e2,e1)	حزب وحدت ، <e1>گروهی </e1>از <e2>جناح‌های </e2>مجاهدین مختلف هزاره ، در طول دوره مقاومت ضد شوروی در دهه 1980 ، از سوی ایران حمایت شد .
Other	این گسترش عمدتا در هوا انجام می شود ، از طریق <e1>قطرات </e1>ویروسی که توسط سرفه و <e2>عطسه </e2>تولید می شود .
Entity-Origin(e1,e2)	ایوان هاردوی ، خوانندهی رد لاین ، <e1>قطار </e1>را برای حرکت از <e2>ایستگاه </e2>آماده می کند .
Component-Whole(e2,e1)	مایو او از روی شانه هایش افتاد و پشتش که نارنجی گلگونی بود با <e1>حلقه‌ای </e1>از <e2>مروارید‌های </e2>کرمی در نور خورشید درخشید .
Content-Container(e1,e2)	من <e1>جهان </e1>را در <e2>کوزه‌ای </e2>گذاشته ام ، درپوش آن در دست من است .
Cause-Effect(e1,e2)	خبر خوب این است که <e1>باکتری </e1>هایی که باعث <e2>بیماری </e2>از آب‌های تفریحی می شوند توسط کلر از بین می روند .
Other	این <e1>مطلب </e1>تبدیل به موضوع <e2>اقدام قانونی </e2>طولانی مدت شد که طبق آن کارفرما پیروز ظاهر شد .
Entity-Destination(e1,e2)	زوک <e1>تبر </e1>را به سمت <e2>کارکنان </e2>مربیگری برد .
Component-Whole(e1,e2)	بریمور در حال کشیدن گل روی <e1>دیوارهای </e1><e2>فروشگاه </e2>آواز می خواند .
Component-Whole(e2,e1)	<e1>گرگ </e1>دارای بالاترین رتبه در سمت راست ، سلطه خود را از طریق <e2>دندان </e2>و ریش نشان می‌دهد .
Message-Topic(e2,e1)	آقای کلینتون این <e1>درخواست </e1>را در یک <e2>تماس تلفنی </e2>بیست دقیقه‌ای از نخست وزیر جان هوارد کرد .
Component-Whole(e1,e2)	<e1>چشم‌های </e1><e2>بزرگ </e2>و برجسته گربه‌ها به خوبی روی <e2>سر </e2>قرار می گیرند و مانند چشم انسان‌ها رو به جلو هستند .
Entity-Origin(e1,e2)	اگرچه بیشتر دانشمندان مظنون بودند که <e1>ویروس </e1>از یک <e2>گونه </e2>پستاندار ناشی شده است ، اما فقط سه شامپانزه به ویروس‌ها آلوده شدند .
Instrument-Agency(e2,e1)	<e1>دولت </e1>با ترس از دست دادن رای ، بحران را از طریق سیستم <e2>یارانه‌ای </e2>حل کرد .
Entity-Origin(e2,e1)	با این حال ، به طور کلی این نظریه در مورد <e1>عنصر </e1><e2>ماه </e2> تا سال 1984 میلادی تا زمانی که یک جلسه بین المللی در کانا ، هاوایی برگزار شد ، مورد توجه قرار نگرفت .
Message-Topic(e1,e2)	این با <e1>ستون‌ها </e1>و مقالات متمرکز بر روی ادبیات خیالی فانتزی <e2>قدیمی </e2>و مصاحبه گاه به گاهی ، تکمیل شده است .
Member-Collection(e2,e1)	در واقع پاراسومارا روی پیوند ازدواح قدرتمند بارگاواس با خاندان حاکم کانیاکوبجا و آیوداها ، یک <e1>هم پیمانی </e1>از <e2>قلمروهای </e2>مختلف شامل وایسالی ، ویده‌ها ، کاسی ، کانیاکوبجا و آیودها سازماندهی کرد که در میادین جنگ متعددی با هایهاسا به جنگ پرداخت .
Other	این <e1>مطالعات </e1><e2>جزئیات </e2>اکتشافی را در مورد برخی از مشخصه‌های تعیین کننده ارائه کرده و اساس تحقیق فعلی را فراهم میکند .
Entity-Origin(e1,e2)	یک <e1>دانشجوی </e1>کالج سنت پل٬ پس از دستگیری در روز سه‌شنبه به خاطر تجاوز به یکی دیگر از دانشجویان در محوطه دانشگاه٬ در روز چهارشنبه از <e2>زندان </e2>آزاد شد .
Instrument-Agency(e1,e2)	یک انبردست الکتریکی چند منظوره ابزاری قوی برای قطع هر قطر <e1>سیم </e1>که <e2>متخصص برق </e2>با آن سر و کار دارد می باشد .
Cause-Effect(e2,e1)	برخی افراد به طور داوطلبانه در سیاسی شدن مشارکت می کنند ، در حالی که دیگران تبدیل به قربانیان <e1>شرایط </e1>ایجاد شده توسط <e2>سیاست زدگی </e2>می شوند .
Other	<e1>مخلوط </e1>واکنش در دمای اتاق به مدت 1 1/2 ساعت در <e2>تاریکی </e2>نگهداری می شود .
Cause-Effect(e2,e1)	علم شاتل فضایی نشان می دهد که چگونه <e1>انفجار </e1>1908 تانگوسکا توسط یک <e2>دنباله دار </e2>ایجاد شد .
Entity-Origin(e1,e2)	تحت شرایطی که <e1>همسر </e1>از یک <e2>خانواده </e2>ثروتمند می آید ، نارضایتی‌های او از ازدواج ممکن است او را به عنوان یک بچه لوس و ننر به نظر برساند .
Other	<e1>کاهش مالیات </e1>برای ثروتمندان باعث ایجاد <e2>شک </e2>شد .
Content-Container(e1,e2)	یک قاچاقچی مواد مخدر سعی کرد بیش از 2 پوند <e1>حشیش </e1>را در داخل یک <e2>تخته شطرنج </e2>چوبی مخفی کند و داخل کشور آورد .
Message-Topic(e1,e2)	جوانان بریجند این <e1>فیلم </e1>متحرک را ساختند تا <e2>خطرات </e2>آتش سوزی جنگل را برجسته کنند .
Cause-Effect(e1,e2)	دلایل زیادی برای سردرد وجود دارد ، از <e2>سردرد </e2><e1>تنش </e1>ناشی از استرس گرفته تا میگرن ناشی از غذاهای خاص .
Cause-Effect(e2,e1)	بیشترین <e1>بخار </e1>از <e2>ماگما </e2>یک آتشفشان می آید .
Entity-Destination(e1,e2)	شرکت AT & T <e1>تراشه‌ای </e1>جدید را به جدیدترین <e2>مودم </e2>خود اضافه کرد .
Cause-Effect(e2,e1)	سردرد مزمن روزانه ، سردرد‌های تنش زا یا <e1>سردردهایی </e1>می باشند که به علت مصرف بیش از حد <e2>مسکن </e2>ایجاد شده اند .
Other	اما این <e1>مشکل </e1>نیاز به یک راه <e2>حل </e2>وسیع تر دارد - راه حلی که با تعهد جدید ایالات متحده به همکاری‌های مرزی همخوانی دارد .
Product-Producer(e2,e1)	<e1>کارشناسان </e1>طراحی هواپیماهای مخفی از رادار ، <e2>هواپیمای </e2>تقریبا فراموش شده و رادیکال ارتش نازی را مجددا طراحی کردند .
Cause-Effect(e1,e2)	<e1>عفونت </e1>یکی از رایج ترین علل <e2>مرگ </e2>، خصوصا در بیماران سوختگی است .
Message-Topic(e1,e2)	آنها به <e1>تماسهای تلفنی </e1>بیشتر و بیشتری درمورد تقاضاهای <e2>پرداخت </e2>برای پوشش هزینه‌ها پاسخ می دهند تا انعامشان را دریافت کنند .
Content-Container(e2,e1)	ما یک <e1>بطری </e1>پر از <e2>هوا </e2>را مهر و موم کردیم و آن را به مدت 15 تا 30 دقیقه در یک فریزر گذاشتیم .
Component-Whole(e2,e1)	<e2>زبان </e2><e1>مار </e1>به نظر می رسد انگشتی بلند ، تیز و به شکل چنگال باشد .
Component-Whole(e2,e1)	<e1>بحث </e1>با <e2>سوالات </e2>اسمالدر در مورد پیشنهاد رکسلر است .
Other	<e1>محصولات </e1>پروتئینی کدگذاری شده توسط این <e2>نوع </e2>ژن مقاومتی در داخل سیتوپلاسم سلول‌های گیاهی قرار دارند .
Other	<e1>صف </e1>پایان برای <e2>گزارش </e2>هایی به کار می رود که کاربر قبلا ندیده است .
Content-Container(e1,e2)	<e1>لیست پخش </e1>در یک <e2>کیف </e2>چرمی کوچک که در آنها مقالات مهم را نگهداری می کنم ، محصور شده بود .
Other	این یک چشم است که هرگز از خطر نترسیده است و این <e1>افتخار </e1><e2>سربازان </e2>او است که هرگز بی تفاوت به رنج کشیدن همراهانش نگاه نکرد .
Product-Producer(e1,e2)	مصرف کنندگان اصرار کردند که یخچال و فریزرشان برای <e1>محصولات </e1>گوشتی تولید شده توسط این <e2>شرکت </e2>بررسی شود .
Entity-Origin(e1,e2)	پارچه و <e1>پوشاک </e1>دست ساز از <e2>دوران </e2>مختلف زندگی او ، این بالا پوش با معنی و خاطره آغشته شده است .
Member-Collection(e2,e1)	یک <e1>دسته </e1><e2>غاز </e2>کانادایی از فراز اسمان می گذشتند ، در حالیکه قبلا از زمستان فرار کرده بودند ، اما در آن لحظه هنوز تابستان بود .
Component-Whole(e2,e1)	<e1>ماشین </e1>اسلات شامل <e2>نرم افزاری </e2>کامپیوتری به عنوان ژنراتور عدد تصادفی است .
Product-Producer(e1,e2)	در این <e1>کتاب ، </e1><e2>شاعر </e2>قبطی مصری به ریشه‌های فرهنگی خود و میراثی از قدرت که برای مقابله با خصومت علیه جوامع به دلیل زبان ، ملیت یا مذهب ضروری است ، باز می گردد .
Instrument-Agency(e1,e2)	از نقل قول‌های فردریک لاو اولمستد تا فلسفه ساخت هنر ، این یکی از بهترین <e1>سایت‌های اینترنتی </e1>برای <e2>نقاشان </e2>و هنرمندان است .
Product-Producer(e1,e2)	بزرگترین <e1>سازمان </e1>کمک‌های جهان که توسط یک <e2>زن </e2>تاسیس شد ، سالگرد 90 ساله را جشن می گیرد .
Cause-Effect(e2,e1)	<e1>نزاع </e1>در شب وقوع جرم بر سر <e2>پول </e2>بود .
Message-Topic(e2,e1)	این <e1>داینامیک </e1>قابل پیش بینی اخیرا در <e2>ادبیات </e2>تحقیقی مقرر شده است .
Instrument-Agency(e2,e1)	در ابتدا ، شرکت‌های فروش ماشین‌های تایپی <e2>ماشین تایپ </e2>را با <e1>تایپیست </e1>می فروختند .
Component-Whole(e1,e2)	از آن به بعد ، <e1>فیلم‌های </e1>کوتاه او در <e2>برنامه‌های </e2>گذشته نگر در جشنواره‌های <e1>فیلم </e1>در سراسر جهان ارائه شده اند .
Cause-Effect(e2,e1)	<e2>ترک کافِین </e2>موجب <e1>سردرد </e1>می شود که یک عارضه جانبی شایع ناشی از حذف کامل است که پس از دوره‌های طولانی استفاده کردن ایجاد می شود ، که آن هم یک نشانه روشن از اعتیاد است .
Cause-Effect(e1,e2)	فشار والدین ، <e1>بیکاری </e1>و فقر منجر به سوء مصرف مواد و <e2>الکل </e2>، استرس و افسردگی می شود که تاثیر عمیقی بر روی کودکان دارد .
Instrument-Agency(e2,e1)	این <e1>نرم افزار </e1>تصاویری را با استفاده از <e2>الگوریتم‌های </e2>تصادفی ایجاد می کند , و آنها را در بخش هایی از صفحات متعدد چاپ می کند , صفحاتی که می توانند به منظور طراحی پوسترهای بزرگ ، آراسته و به یکدیگرمونتاژ شوند .
Cause-Effect(e1,e2)	حلزون‌ها و <e1>شکم‌پا‌ها </e1>سبب <e2>آسیب </e2>به جوانه‌ها ، گل‌ها ، سبزیجات و درختچه‌ها می شوند .
Entity-Destination(e1,e2)	<e1>مجسمه </e1>یک خدای آزتک به <e2>معبد </e2>منتقل شد .
Other	این رهبران شرکت‌ها <e1>الزام </e1>وودرو ویلسون به <e2>بورس تحصیلی </e2>را به ارث برده اند .
Component-Whole(e2,e1)	<e1>مزرعه </e1>شامل 80 <e2>توربین </e2>است که 160 مگاوات برق تولید می کند و تقریبا 2٪ از کل مصرف برق دانمارک را تامین می کند .
Other	<e1>بخش </e1>بیرونی از یک <e2>غشا </e2>تشکیل شده که درون چند لایه پیچیده شده است .
Component-Whole(e2,e1)	<e1>مانیتور </e1>شامل دستگاه نمایشگر ، <e2>مدار </e2>و محفظه است .
Cause-Effect(e2,e1)	<e1>کاهش </e1>جمعيت ناشی از <e2>هجوم </e2>فاضلاب شهری و صنعتی ، ته نشینی لجن و احیاء اراضی است .
Other	<e1>دانش آموزان </e1>غیر انگلیسی از <e2>طرح </e2>بورسیه بهره مند می شوند .
Content-Container(e1,e2)	<e1>شمشیر </e1>در یک <e2>جعبه </e2>پر از طلا و جواهرات قرار داده شد .
Member-Collection(e2,e1)	ای‌درایو ۴.۰ شرکت بی‌ام‌دابلیو٬ <e1>گروهی </e1>از <e2>ویژگی‌های </e2>جدید را به ارمغان می‌آورد .
Component-Whole(e1,e2)	متاستاز از تخمدان و رحم در <e1>پوست </e1><e2>شکم </e2>پایینی ، کشاله ران یا ران بالا دیده می شود .
Member-Collection(e2,e1)	به نظر می‌رسید که این مرد جوان یک مقدار از این پوشش را از دست داده و هرگز به خرگوش‌ها نرسیده است، بنابراین ما به سوی دشت رفتیم و رُی تا زمانی که یک <e1>دسته </e1><e2>کبک </e2>جوان را پیدا کردیم روی نشانه‌گیر خود کار کرد .
Entity-Destination(e1,e2)	ناسا همچنین <e1>ماهی </e1>را به <e2>فضا </e2>برده است .
Member-Collection(e1,e2)	یک <e1>نماینده </e1>دیگر <e2>حزب </e2>ائتلاف در ترکیه استعفا داد .
Instrument-Agency(e2,e1)	<e1>صنعتگران </e1>اتریشی ابزارهای خود را با <e2>لکه‌های </e2>جوهری علامت گذاری کردند .
Content-Container(e1,e2)	پودر نرم به یک کیسه لاستیکی با قطر 3/4 اینچ بارگذاری شد و <e1>کیسه </e1>در یک <e2>غلاف </e2>ضدزنگ یا پلاستیکی گنجانده شد .
Member-Collection(e2,e1)	ساختار لایه مرزی بنتیک روی <e1>بستری </e1>از <e2>صدف‌های دریایی </e2>در یک قنات خط‌سیر مورد بررسی قرار گرفت .
Member-Collection(e2,e1)	این مجلد ، با داستانی برجسته از یک <e1>گروه </e1><e2>خرگوش </e2>فراموش ناشدنی ،به پرورش حضور مثبت افرادی که دوستشان داریم می پردازد ، - شخصیت های قوی در تقویت کنترل احساسات و زندگی در آرزوها .
Other	<e1>دیوان‌سالاری </e1>تکاملی قدم به <e2>وجود </e2>نهاده است .
Component-Whole(e1,e2)	استخوان بخش‌های میانی از مدار و <e1>سقف </e1><e2>حفره بینی </e2>را تشکیل می دهد .
Entity-Origin(e1,e2)	خرده فروش درآمد حاصل از ارزش کوپن و هزینه رسیدگی مربوط به آن را در زمان دریافت <e1>کوپن </e1>از <e2>مشتری </e2>گزارش می دهد .
Other	اما در سال 2004 ، <e1>گسیختگی </e1> در انتهای <e2>جنوب شرقی </e2>شروع شد و به سمت شمال و غرب حرکت کرد ، در جهت مخالف از آنهایی که در 34 و 66 قرار داشتند .
Cause-Effect(e1,e2)	این <e1>آزمون‌ها </e1><e2>اطلاعات </e2>پایه درمورد کارکنان را تضمین کرده و این اطمینان را می دهند که آنها به درستی با تقاضاهای فیزیکی منطبق هستند .
Entity-Destination(e1,e2)	دولت‌ها <e1>میلیاردها </e1>دلار به <e2>اقتصاد </e2>خود تزریق کرده اند .
Message-Topic(e1,e2)	برخی از <e1>نمودارها </e1>به یک <e2>ژانر موسیقی </e2>خاص و بیشترشان به یک مکان جغرافیایی خاص اختصاص دارند .
Message-Topic(e2,e1)	علاوه بر این ، <e1>رکورد </e1>او به عنوان یک جانباز ویتنام در یک <e2>کتاب </e2>اخیر <e1>ثبت </e1>شده است .
Cause-Effect(e1,e2)	<e1>غم </e1>و اندوه منجر به <e2>الهام </e2>می شود ، بنابراین در این داستان عشق و نفرت ، احترام و خیانت ، در مورد تاریخ جنگ‌های مکزیک یاد میگیرید .
Message-Topic(e2,e1)	<e1>اسطوره سازی </e1>یک موضوع مهم در <e2>نمایشگاه </e2>است که در مجسمه سازی عظیم هفت تکه‌ای شاهد آن می باشیم .
Component-Whole(e1,e2)	غذای راحتی را در <e1>قفسه‌های </e1><e2>سوپرمارکت </e2>ترک کنید ، میوه و سبزی بیشتری بخرید ، به این ترتیب شما مواد غذایی سالم را جذب می کنید ، این کار به من اعتماد می کند ، من اغلب آن را انجام می دهم .
Message-Topic(e2,e1)	<e1>مشکلات </e1>جرم و کیفیت عدالت در <e2>مناظرات </e2>عمومی تبدیل به مسائل اصلی شده اند .
Member-Collection(e2,e1)	مغز ، به تفسیر دکتر غزنژی ، یک <e1>همبستگی </e1>از <e2>ماژول‌های </e2>مختلف است که توسط سیستم‌های محاسباتی برتر  در مغز چپ که توانایی تفسیر چندگانگی ما را دارد  پوشیده شده اند .
Product-Producer(e1,e2)	آنها تأیید کردند که مدارک تحصیلی رئیس جمهور روسیه بر اساس یک پایان نامه است که او بخشی از آن را از ترجمه روسی یک <e1>مطالعه </e1>مدیریتی که توسط دو <e2>پروفسور </e2>دانشگاه پیتزبورگ در سال 1978 نوشته شده است ، برداشته است .
Entity-Destination(e1,e2)	ما <e1>فایل‌ها </e1>را به یک <e2>دایرکتوری </e2>مبتنی بر تاریخ مانند YY / MM / DD قرار دادیم .
Cause-Effect(e2,e1)	اما <e1>زلزله </e1>در ابتدا ناشی از فاجعه <e2>فوران </e2>ترا بود .
Instrument-Agency(e1,e2)	سر شعله هايي كه در <e1>اجاق گاز </e1>استفاده مي شوند براي حفاظت <e2>پخت و پز </e2>از گرما هستند .
Instrument-Agency(e2,e1)	این <e1>تبهکار </e1>سقف را با استفاده از یک <e2>تفنگ </e2>، میله یووویچ سوراخ می کند ، که در مجرای سقف پنهان شده است .
Entity-Origin(e2,e1)	سپس <e1>پادشاه </e1><e2>کلید </e2>را به ملکه داد و گفت: «آگاه باش که هرکس اجازه دهد این مار فرار کند به دار آویخته خواهد شد» .
